urbanizacion,perdida_veg,ganancia_veg,nuevo_agua,zona,total_pixeles,urbanizacion_pct,perdida_veg_pct,ganancia_veg_pct,nuevo_agua_pct,urbanizacion_ha,perdida_veg_ha,ganancia_veg_ha,nuevo_agua_ha
1.0,1.0,8.0,0.0,5109041011003,10.0,10.0,10.0,80.0,0.0,0.01,0.01,0.08,0.0
4.0,21.0,27.0,0.0,5109041011004,52.0,7.6923076923076925,40.38461538461539,51.92307692307692,0.0,0.04,0.21,0.27,0.0
234.0,71.0,364.0,58.0,5109171001002,727.0,32.18707015130674,9.766162310866575,50.0687757909216,7.977991746905089,2.34,0.71,3.64,0.58
0.0,5.0,74.0,0.0,5109041001016,79.0,0.0,6.329113924050633,93.67088607594937,0.0,0.0,0.05,0.74,0.0
2.0,4.0,13.0,0.0,5109041008018,19.0,10.526315789473685,21.05263157894737,68.42105263157895,0.0,0.02,0.04,0.13,0.0
1.0,8.0,38.0,0.0,5109041001017,47.0,2.127659574468085,17.02127659574468,80.85106382978724,0.0,0.01,0.08,0.38,0.0
0.0,0.0,0.0,0.0,5109041003035,0.0,,,,,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,5109041003018,0.0,,,,,0.0,0.0,0.0,0.0
0.0,4.0,151.0,0.0,5109121002010,155.0,0.0,2.5806451612903225,97.41935483870968,0.0,0.0,0.04,1.51,0.0
0.0,0.0,45.0,0.0,5109041008025,45.0,0.0,0.0,100.0,0.0,0.0,0.0,0.45,0.0
0.0,0.0,7.0,0.0,5109041008020,7.0,0.0,0.0,100.0,0.0,0.0,0.0,0.07,0.0
4.0,7.0,24.0,0.0,5109041001021,35.0,11.428571428571429,20.0,68.57142857142857,0.0,0.04,0.07,0.24,0.0
3.0,17.0,7.0,3.0,5109041008026,30.0,10.0,56.666666666666664,23.333333333333332,10.0,0.03,0.17,0.07,0.03
1.0,17.0,29.0,1.0,5109041011005,48.0,2.0833333333333335,35.416666666666664,60.416666666666664,2.0833333333333335,0.01,0.17,0.29,0.01
0.0,0.0,0.0,0.0,5109121002033,0.0,,,,,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,5109121001007,0.0,,,,,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,5109121001008,0.0,,,,,0.0,0.0,0.0,0.0
21.0,141.0,237.0,0.0,5109041004059,399.0,5.2631578947368425,35.338345864661655,59.3984962406015,0.0,0.21,1.41,2.37,0.0
0.0,0.0,0.0,0.0,5109121001016,0.0,,,,,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,5109121001028,0.0,,,,,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,5109121001029,0.0,,,,,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,5109121002044,0.0,,,,,0.0,0.0,0.0,0.0
8.0,4.0,1.0,0.0,5109141003008,13.0,61.53846153846154,30.76923076923077,7.6923076923076925,0.0,0.08,0.04,0.01,0.0
0.0,0.0,0.0,0.0,5109121001018,0.0,,,,,0.0,0.0,0.0,0.0
0.0,0.0,2.0,0.0,5109141003010,2.0,0.0,0.0,100.0,0.0,0.0,0.0,0.02,0.0
2.0,0.0,0.0,0.0,5109121001030,2.0,100.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0
0.0,0.0,2.0,0.0,5109141003009,2.0,0.0,0.0,100.0,0.0,0.0,0.0,0.02,0.0
0.0,0.0,0.0,0.0,5109121001015,0.0,,,,,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,5109121001010,0.0,,,,,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,5109121001031,0.0,,,,,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,5109121001011,0.0,,,,,0.0,0.0,0.0,0.0
